latitude,longitude,Time_Start,Time_Stop,TimeTaken
13.01408958,80.22530365,14,25,
13.01439953,80.22599792,86384,86394,
12.99740028,80.25689697,18,29,
12.99827957,80.25666809,86387,86397,
12.90503979,80.22808075,18,28,
12.98672962,80.259552,78725,78735,
12.99785995,80.25663757,18,28,
12.99843979,80.25708771,86389,86399,
12.99730015,80.19154358,20,30,
12.99728966,80.19168854,86381,86391,
13.07623959,80.27599335,1629,1629,
13.07608032,80.27471924,82848,82858,
13.01434994,80.22619629,14,24,
13.01480007,80.22554016,86387,86397,
12.99738026,80.19177246,14,24,
12.99699974,80.19091034,86387,86398,
12.99678993,80.19088745,15,25,
12.99709988,80.19146729,86384,86394,
12.99771023,80.25705719,17,27,
12.91827965,80.25083923,86389,86399,
12.9966898,80.19094086,14,24,
12.99728966,80.19185638,86389,86399,
13.04971027,80.21221161,55392,55392,
13.03890991,80.19902802,66131,66131,
13.12024975,80.25914764,17,27,
13.11954975,80.25869751,86380,86390,
13.07619953,80.27567291,15,25,
13.07569981,80.27535248,86381,86391,
12.99752998,80.25688171,16297,16307,
12.98744965,80.25733948,86383,86393,
13.01325989,80.22662354,14,24,
13.01428032,80.22572327,82868,82878,
12.99789047,80.25682831,16,26,
12.99796009,80.25666046,86381,86391,
13.07608032,80.27577972,1340,1340,
13.07592964,80.27526093,84534,84534,
12.98686981,80.2590332,18,28,
12.98672962,80.25904846,86381,86391,
13.05041027,80.20636749,172,182,
13.05049038,80.20636749,72877,72877,
13.0339098,80.2053299,19,29,
13.03429031,80.20575714,86387,86398,
12.89873028,80.18035889,16,26,
12.89869022,80.18039703,86384,86394,
13.01430035,80.22557068,21,31,
12.99438,80.20671844,86382,86392,
13.14573002,80.24315643,20,37,
13.10004997,80.22769928,86388,86398,
12.9868803,80.25879669,17,27,
12.98666,80.25932312,86380,86390,
12.99705982,80.19148254,16,26,
12.99703979,80.19184875,86389,86399,
12.9881897,80.22367096,12,23,
12.98824024,80.22386169,86382,86392,
13.02637005,80.26637268,15,25,
13.02651978,80.26428223,86381,86391,
13.05053043,80.20645905,18,28,
13.0510397,80.20600128,86384,86395,
12.99773026,80.25657654,12,22,
12.91928005,80.18726349,86382,86392,
13.09848022,80.24195862,11,21,
13.09922028,80.24149323,86382,86392,
13.01276016,80.22673798,15,25,
13.01432991,80.22566986,86383,86393,
13.00922966,80.20381927,21,31,
12.97585011,80.22107697,86383,86393,
13.03462029,80.2299881,15,25,
13.01688004,80.22515869,86385,86395,
12.98847008,80.22392273,20,30,
12.98841953,80.22392273,86387,86397,
13.01348019,80.22657776,18,28,
13.01420975,80.22553253,86380,86390,
13.02620029,80.26599121,11,21,
13.02622986,80.2661972,86388,86398,
13.07540035,80.27516174,18,29,
13.0749197,80.27507019,86379,86389,
12.99757957,80.25670624,18,28,
12.99740028,80.25727844,86389,86399,
12.99790001,80.2564621,18,28,
12.99790001,80.2564621,86380,86390,
13.01436996,80.22563934,12,22,
13.01461983,80.22586823,86381,86392,
12.9982996,80.25720215,14,24,
12.99707031,80.25705719,86383,86393,
12.99409008,80.25610352,19,29,
13.00039005,80.2650528,86380,86390,
13.07497978,80.27561188,13,24,
13.0749197,80.27536011,86382,86392,
13.05023956,80.20690918,16,26,
13.05000973,80.20690155,86387,86397,
12.99800014,80.25643921,18,28,
12.99818993,80.25621796,86380,86390,
13.09883976,80.23993683,18,28,
13.09832001,80.24093628,86389,86399,
13.09860992,80.24121857,18,29,
13.09862041,80.24124908,86387,86398,
12.99833965,80.25715637,17,27,
12.99783993,80.2569809,86387,86397,
12.78633022,80.22174072,19,29,
12.79529953,80.22286987,86382,86393,
13.0761404,80.27545929,13,23,
13.07590008,80.27520752,86385,86395,
13.0988102,80.24006653,15,25,
13.09836006,80.24104309,86386,86396,
13.07584,80.27536011,17,27,
13.07590008,80.27533722,86382,86392,
13.02637959,80.26589966,19,29,
13.02655983,80.26603699,86380,86390,
12.99685955,80.25691986,12,22,
12.99695969,80.25701904,86381,86391,
13.04438972,80.266922,18,28,
13.02635956,80.26622772,86384,86394,
12.98845959,80.22367859,17,27,
12.98841953,80.22377014,86384,86394,
13.01401997,80.22569275,17,27,
13.01430035,80.22550201,86385,86395,
12.99824047,80.25659943,14,24,
12.99843025,80.25700378,86338,86355,
13.10235977,80.27391815,16,26,
13.1928196,80.18409729,86380,86390,
12.98830032,80.22389221,14,24,
12.98824024,80.22386169,86385,86395,
12.98705006,80.25933838,19,29,
12.98682022,80.25914001,86385,86395,
12.99310017,80.23397827,13,23,
12.99777985,80.23776245,86385,86395,
13.07588005,80.27529907,13,23,
13.08080006,80.27516937,86382,86392,
12.98826981,80.22364807,18,28,
12.98818016,80.22370911,86381,86391,
13.09916019,80.24143219,21,31,
13.09873962,80.24118805,86380,86390,
12.98672962,80.25881195,13,23,
12.9868803,80.25906372,86382,86392,
13.01420975,80.22547913,11,21,
13.01430035,80.22563171,86389,86399,
12.94839954,80.1432724,11,21,
12.94839954,80.1432724,86380,86390,
12.98715973,80.25862885,19,29,
12.98711014,80.25850677,86379,86390,
12.98676968,80.25926208,16,26,
12.98690987,80.25940704,86383,86393,
12.98663998,80.25894165,15,25,
12.98659992,80.25891113,86389,86399,
13.07470989,80.27545929,20,30,
13.0759201,80.2752533,86387,86397,
13.01416016,80.22582245,13,23,
13.0141201,80.22570038,86387,86397,
12.99839973,80.25689697,12,22,
12.99746037,80.25701904,86385,86395,
13.01455021,80.22492981,15,25,
13.01438046,80.22557068,86389,86399,
12.98680019,80.25939941,15,26,
12.98715973,80.25865173,86383,86393,
