latitude,longitude,Time_Start,Time_Stop,TimeTaken
13.0142602921,80.2260894775,21619,21710,91
12.9865903854,80.2592163086,25192,25273,81
12.9869403839,80.2591018677,25293,25324,31
12.9799203873,80.2527008057,25555,25596,41
12.9767999649,80.2211380005,26355,26466,111
12.9808502197,80.248840332,26910,26955,45
12.9874801636,80.251449585,27036,27147,111
12.9877300262,80.2555923462,27217,27268,51
12.9866800308,80.2595291138,27390,27431,41
12.9866399765,80.2591171265,27431,27532,101
12.9870195389,80.2590789795,27532,27592,60
13.0259799957,80.2308425903,29676,29717,41
13.0293598175,80.230796814,29797,29838,41
13.034819603,80.2299194336,29989,30091,102
13.0344400406,80.2298431396,30566,30728,162
13.0344104767,80.2298126221,30728,30894,166
13.0269699097,80.2329483032,31504,31565,61
13.0226097107,80.226890564,31716,31757,41
13.0202999115,80.2250900269,31757,31795,38
13.019080162,80.2244873047,31795,31826,31
13.0162000656,80.2255630493,31826,31858,32
13.0085401535,80.2135620117,32201,32232,31
12.9975204468,80.2162017822,32555,32715,160
12.9814195633,80.2212677002,33065,33105,40
12.9807100296,80.2526321411,34251,34291,40
12.9830904007,80.2525177002,34291,34331,40
12.9839696884,80.2523498535,34331,34362,31
12.9878396988,80.2544708252,34869,34980,111
12.9870996475,80.2591171265,35425,35476,51
12.9811201096,80.2445831299,36192,36253,61
12.9811601639,80.2441482544,36262,36303,41
12.9811296463,80.2297210693,36648,36679,31
13.0227003098,80.2267990112,38073,38104,31
13.0259199142,80.2307434082,38297,38375,78
13.0285701752,80.2308731079,38438,38510,72
13.0299901962,80.2307510376,38550,38611,61
13.0350103378,80.2298431396,38782,38843,61
13.0343999863,80.2297668457,38883,38944,61
13.034330368,80.229850769,38954,39024,70
13.0343103409,80.2297668457,39024,39105,81
13.0341997147,80.2299118042,39105,39165,60
13.0341796875,80.2302017212,39165,39208,43
13.0276098251,80.2328186035,39410,39501,91
13.0251998901,80.2298583984,39591,39622,31
13.0081195831,80.2133407593,40182,40213,31
12.9762401581,80.2216033936,40900,40941,41
12.9812097549,80.2526092529,41537,41700,163
12.9877996445,80.2545166016,42124,42155,31
12.9872503281,80.2593536377,42276,42316,40
12.9868803024,80.2591094971,42387,42488,101
12.987859726,80.2531967163,42641,42782,141
12.9800100327,80.2527084351,42913,42974,61
13.0337600708,80.2305221558,45039,45079,40
13.0344600677,80.2297973633,45159,45272,113
13.0342102051,80.2300872803,45283,45353,70
13.0341501236,80.2303390503,45353,45384,31
13.0270395279,80.2329483032,45565,45596,31
12.9963798523,80.2166213989,46527,46567,40
12.995639801,80.216758728,46587,46618,31
12.9819698334,80.231628418,47346,47467,121
12.9820404053,80.2320480347,47477,47629,152
12.9860401154,80.251701355,48185,48236,51
12.9869203568,80.2595214844,48508,48549,41
12.9866304398,80.2590866089,48579,48610,31
12.9867601395,80.2590103149,48620,48680,60
12.9871196747,80.2590866089,48680,48711,31
12.9802703857,80.2283477783,49601,49652,51
13.0259199142,80.2307815552,50919,50980,61
13.0267496109,80.2330322266,51404,51467,63
13.0143299103,80.2261581421,51761,51834,73
13.0243997574,80.2284088135,52624,52725,101
13.0143699646,80.2262496948,52979,53019,40
13.0084104538,80.2134170532,53274,53335,61
12.9765100479,80.2212600708,54013,54064,51
12.9761896133,80.2217025757,54094,54134,40
12.9876804352,80.2513504028,54712,54886,174
12.9871301651,80.2594985962,55069,55110,41
12.9866104126,80.2593688965,55140,55282,142
12.9867801666,80.2590332031,55292,55371,79
12.9801702499,80.2527313232,55675,55736,61
13.0289802551,80.2308883667,57688,57721,33
13.0348100662,80.2303237915,57822,57862,40
13.0341997147,80.2302474976,58115,58165,50
13.0269098282,80.233001709,58357,58428,71
13.0083999634,80.213470459,59015,59065,50
12.9972696304,80.2165298462,59308,59348,40
12.982919693,80.2219467163,59945,60086,141
12.9825601578,80.2219009399,60086,60218,132
12.9825897217,80.2218475342,60218,60390,172
12.9844999313,80.2521972656,61119,61200,81
12.9880304337,80.2525405884,61333,61393,60
12.9868497849,80.2593536377,61605,61767,162
12.9875802994,80.2562637329,63071,63252,181
12.9802999496,80.2527694702,63466,63506,40
12.9813203812,80.2431411743,63688,63728,40
12.9763402939,80.2217178345,64729,64770,41
12.980799675,80.2526702881,65336,65407,71
12.9868297577,80.2590866089,65993,66184,191
12.9871196747,80.2591934204,66196,66236,40
12.9875297546,80.2567367554,66297,66408,111
12.9800796509,80.2527999878,67065,67106,41
12.9811897278,80.2438201904,67255,67298,43
12.9867296219,80.2230834961,68461,68502,41
12.9939498901,80.2178573608,68673,68714,41
12.9969100952,80.2165603638,68805,68845,40
13.0193395615,80.2243881226,69452,69483,31
13.0251598358,80.2296066284,69695,69765,70
13.0271196365,80.2312088013,69876,69989,113
13.0277395248,80.2310714722,70007,70047,40
13.0279102325,80.2310333252,70047,70090,43
13.0288200378,80.2309494019,70140,70221,81
13.0333404541,80.2306137085,70372,70403,31
13.0346803665,80.2304000854,70453,70504,51
13.0344800949,80.229850769,70563,70756,193
13.0342102051,80.2301101685,70756,70816,60
13.0302095413,80.2308273315,71272,71313,41
13.0260896683,80.2322311401,71484,71515,31
12.9870500565,80.2231369019,73026,73066,40
12.9870996475,80.2515029907,74029,74191,162
12.9877595901,80.2550506592,74262,74383,121
12.9872198105,80.2595291138,74474,74505,31
12.9865198135,80.2593383789,74555,74636,81
12.9868602753,80.2590789795,74656,74697,41
12.9874601364,80.2561035156,74757,74858,101
12.9800596237,80.2527999878,75070,75120,50
12.99477005,80.2171173096,76386,76508,122
13.0344200134,80.2297897339,77448,77579,131
13.0272903442,80.2329177856,77823,77873,50
13.0084199905,80.2135314941,78491,78522,31
12.9762001038,80.2216262817,79312,79352,40
12.985250473,80.2519683838,79910,79950,40
12.9864196777,80.2516937256,80011,80081,70
12.9874696732,80.2513809204,80122,80203,81
12.987660408,80.2554931641,80263,80305,42
13.0141897202,80.2256317139,82450,82571,121
12.9984798431,80.2567596436,4038,4219,181
12.9978199005,80.2563781738,18611,18671,60
12.8747901917,80.2098312378,20628,20729,101
13.0069198608,80.2097167969,24037,24106,69
13.0097904205,80.2113037109,24541,24582,41
13.0094804764,80.2110900879,24582,24692,110
13.0060501099,80.2205963135,25872,26003,131
12.9070100784,80.2283935547,28273,28323,50
12.8999700546,80.2279510498,28454,28495,41
12.8938598633,80.2276229858,28595,28646,51
12.8925895691,80.2274627686,28686,28737,51
12.8744897842,80.2101211548,29301,29332,31
12.8782997131,80.2174987793,30048,30229,181
12.8764801025,80.2268829346,30350,30389,39
12.8995199203,80.2277984619,30703,30885,182
12.9035797119,80.2280197144,31056,31096,40
12.9047298431,80.2281188965,31157,31228,71
12.9060401917,80.2281723022,31348,31379,31
12.9143695831,80.2293395996,31520,31560,40
12.9392404556,80.2353591919,31942,31974,32
12.9472503662,80.2399597168,32125,32175,50
12.9552097321,80.2429122925,32377,32438,61
12.9556398392,80.2430725098,32458,32528,70
12.9559803009,80.2431869507,32528,32569,41
12.9590501785,80.2444915771,32649,32680,31
12.9634504318,80.2465896606,32750,32821,71
12.9669303894,80.2479705811,32881,32912,31
13.0098600388,80.2113418579,35140,35201,61
13.0095701218,80.2111206055,35201,35241,40
13.0059499741,80.2205810547,36138,36239,101
12.9987602234,80.2168579102,36360,36471,111
12.9981603622,80.2166366577,36491,36542,51
12.9833202362,80.2222671509,37006,37056,50
12.976269722,80.221572876,37197,37258,61
12.979929924,80.2525405884,37984,38044,60
12.9070796967,80.2284011841,39285,39375,90
12.9011297226,80.2280426025,39446,39517,71
12.8764400482,80.2267608643,40827,40868,41
12.9051599503,80.2281265259,41352,41402,50
12.9488601685,80.2406005859,42098,42148,50
12.9563102722,80.2432937622,42320,42380,60
12.9633197784,80.2465896606,42501,42542,41
13.0095701218,80.2112426758,44629,44730,101
12.9847097397,80.2230911255,46081,46142,61
12.9828996658,80.2220077515,46222,46253,31
12.9566698074,80.2437286377,47513,47584,71
12.9396696091,80.2357177734,47906,47937,31
12.9013996124,80.2280197144,48532,48572,40
12.8990697861,80.2278366089,48642,48683,41
12.8918800354,80.2274169922,48824,48884,60
12.8748197556,80.2096633911,49439,49530,91
12.8750295639,80.2096633911,50433,50494,61
12.8748598099,80.2096405029,50494,50625,131
12.8748703003,80.2096176147,50625,50816,191
12.9004096985,80.2278289795,52046,52077,31
12.9488897324,80.2406082153,52914,52964,50
13.0071697235,80.209777832,54799,54830,31
13.0095996857,80.2111663818,55515,55596,81
12.9013700485,80.2280426025,58712,58793,81
12.8792495728,80.2110671997,59959,60026,67
12.8764600754,80.2267074585,60218,60268,50
12.9002399445,80.2278594971,60581,60621,40
13.0135498047,80.2042236328,63727,63767,40
13.0136203766,80.2046966553,63787,63818,31
13.0097703934,80.2112426758,64040,64090,50
13.0023899078,80.2194595337,65330,65361,31
13.0017795563,80.2188110352,65441,65522,81
13.0014696121,80.2185134888,65522,65582,60
13.0011301041,80.2183303833,65582,65633,51
12.9999198914,80.2175292969,65734,65784,50
12.9989299774,80.2169723511,65835,65925,90
12.9984502792,80.2167282104,65966,66006,40
12.9980697632,80.216583252,66006,66056,50
12.9763402939,80.2217102051,66651,66682,31
12.9072904587,80.2283325195,68739,68810,71
12.9036197662,80.2281036377,68900,68961,61
12.8744802475,80.2095108032,69746,69836,90
12.8746595383,80.2099761963,70233,70264,31
12.8788700104,80.2108688354,70354,70385,31
12.8792896271,80.2119598389,70414,70446,32
12.8782396317,80.2174377441,70526,70597,71
12.8950300217,80.2274780273,71101,71202,101
12.9001302719,80.2277679443,71282,71343,61
12.9054498672,80.2280883789,71494,71575,81
12.9837398529,80.2224578857,74056,74126,70
12.9974002838,80.2161178589,74469,74510,41
13.0070896149,80.2097930908,74822,74863,41
13.007399559,80.2098083496,74873,74913,40
13.0097198486,80.2112579346,75407,75508,101
12.9876203537,80.2230529785,76587,76658,71
12.9872999191,80.2230682373,76668,76779,111
12.9800300598,80.2523269653,77575,77606,31
12.9854898453,80.251953125,77676,77707,31
12.9864797592,80.251701355,77737,77817,80
12.9876899719,80.251411438,77848,77938,90
12.9974899292,80.2559204102,78160,78191,31
12.9976797104,80.2565383911,78221,78302,81
12.9867200851,80.2589111328,3985,4065,80
12.9870004654,80.2591323853,6890,6930,40
12.9870195389,80.2590866089,6941,7062,121
12.9869298935,80.2590103149,7062,7243,181
