latitude,longitude,Time_Start,Time_Stop,TimeTaken
13.008099556,80.2133102417,22543,22564,21
12.9993200302,80.2146911621,22726,22746,20
12.9876098633,80.2564620972,25324,25344,20
12.9762401581,80.2215805054,26378,26406,28
12.9877796173,80.2551727295,27106,27126,20
12.9873399734,80.2592315674,27196,27217,21
12.986989975,80.2595977783,27317,27337,20
12.987569809,80.2562026978,27481,27511,30
12.9813499451,80.2427062988,27853,27875,22
12.9812803268,80.2378768921,27945,27965,20
12.9816598892,80.2332992554,28026,28046,20
12.9773797989,80.22265625,28290,28320,30
12.9863996506,80.2229690552,28542,28562,20
13.0342998505,80.2300109863,30222,30252,30
13.0341901779,80.2300567627,31139,31169,30
13.0341901779,80.2300567627,31169,31199,30
13.0277996063,80.2323532104,31311,31340,29
13.0277996063,80.2323532104,31340,31369,29
13.0145196915,80.2262268066,31624,31654,30
12.9909296036,80.2200698853,32413,32433,20
12.9801597595,80.2521972656,33343,33363,20
12.987279892,80.2594070435,34079,34100,21
12.9811401367,80.2442779541,35506,35526,20
12.9811601639,80.2442092896,35526,35547,21
12.981180191,80.2440719604,35547,35567,20
12.9813699722,80.2429275513,35658,35678,20
12.9816102982,80.2333908081,35860,35880,20
12.9793996811,80.2267608643,36072,36092,20
13.0192899704,80.2242965698,37205,37235,30
13.0208997726,80.2253723145,37296,37326,30
13.0216503143,80.2259368896,37346,37367,21
13.0290298462,80.230796814,37700,37719,19
13.0349702835,80.2300796509,37996,38016,20
13.0278396606,80.2324523926,38572,38602,30
12.9828901291,80.2219772339,40049,40079,30
12.9849004745,80.2520675659,40949,40969,20
12.9877796173,80.2548370361,41213,41233,20
12.9874401093,80.2578811646,41991,42012,21
12.9806203842,80.2527236938,42356,42376,20
12.9828195572,80.2218780518,43086,43116,30
12.9864997864,80.2229614258,43187,43207,20
12.9974403381,80.2161712646,43441,43461,20
13.0076904297,80.2129211426,43633,43663,30
13.0195798874,80.2244720459,43925,43946,21
13.0291996002,80.2308578491,44227,44250,23
13.0350198746,80.2299194336,44502,44522,20
13.0345897675,80.2298431396,44532,44553,21
13.0341796875,80.2300415039,44603,44623,20
13.0310897827,80.230682373,44795,44825,30
13.0202598572,80.2250518799,45190,45210,20
13.0111598969,80.2234191895,45432,45453,21
12.9822797775,80.221786499,46201,46231,30
12.9851799011,80.2520599365,46968,46988,20
12.9872598648,80.259147644,47404,47424,20
12.9865598679,80.2594299316,47656,47676,20
12.9800100327,80.2527236938,47959,47979,20
12.9772396088,80.2227020264,48506,48526,20
12.9903802872,80.2203598022,48839,48859,20
13.0197401047,80.2245483398,49478,49500,22
13.0259103775,80.2307815552,49643,49671,28
