No,day,month,latitude,longitude,bus_id,seconds,No
,,,,,,,
345553,6,3,13.05051041,80.20619965,45214920406,49027,345553
345630,6,3,13.05051041,80.20613861,45214920406,49038,345630
345699,6,3,13.05051041,80.20623016,45214920406,49047,345699
345733,6,3,13.05051041,80.20622253,45214920406,49052,345733
345734,6,3,13.05051041,80.20622253,45214920406,49052,345734
345735,6,3,13.05051041,80.20622253,45214920406,49052,345735
345736,6,3,13.05051041,80.20622253,45214920406,49052,345736
345737,6,3,13.05051041,80.20622253,45214920406,49052,345737
345738,6,3,13.05051041,80.20622253,45214920406,49052,345738
345739,6,3,13.05051041,80.20622253,45214920406,49052,345739
345740,6,3,13.05051041,80.20622253,45214920406,49052,345740
345741,6,3,13.05051041,80.20622253,45214920406,49052,345741
345742,6,3,13.05051041,80.20622253,45214920406,49052,345742
345743,6,3,13.05051041,80.20622253,45214920406,49052,345743
345744,6,3,13.05051041,80.20622253,45214920406,49052,345744
345745,6,3,13.05051041,80.20622253,45214920406,49052,345745
345746,6,3,13.05051041,80.20622253,45214920406,49052,345746
345747,6,3,13.05051041,80.20622253,45214920406,49052,345747
345748,6,3,13.05051041,80.20622253,45214920406,49052,345748
345749,6,3,13.05051041,80.20622253,45214920406,49052,345749
345750,6,3,13.05051041,80.20622253,45214920406,49052,345750
345751,6,3,13.05051041,80.20622253,45214920406,49052,345751
345752,6,3,13.05051041,80.20622253,45214920406,49052,345752
345753,6,3,13.05051041,80.20622253,45214920406,49052,345753
345754,6,3,13.05051041,80.20622253,45214920406,49052,345754
345755,6,3,13.05051041,80.20622253,45214920406,49052,345755
345756,6,3,13.05051041,80.20622253,45214920406,49052,345756
345757,6,3,13.05051041,80.20622253,45214920406,49052,345757
345758,6,3,13.05051041,80.20622253,45214920406,49052,345758
351811,6,3,13.05043983,80.20584106,45214920406,49884,351811
351890,6,3,13.05043983,80.20609283,45214920406,49895,351890
351961,6,3,13.05047035,80.20617676,45214920406,49905,351961
352044,6,3,13.05041981,80.2061615,45214920406,49916,352044
352122,6,3,13.05041981,80.2061615,45214920406,49926,352122
352144,6,3,13.05041981,80.2061615,45214920406,49929,352144
352145,6,3,13.05041981,80.2061615,45214920406,49929,352145
352146,6,3,13.05041981,80.2061615,45214920406,49929,352146
352147,6,3,13.05041981,80.2061615,45214920406,49929,352147
352148,6,3,13.05041981,80.2061615,45214920406,49929,352148
352149,6,3,13.05041981,80.2061615,45214920406,49929,352149
352150,6,3,13.05041981,80.2061615,45214920406,49929,352150
352151,6,3,13.05041981,80.2061615,45214920406,49929,352151
352152,6,3,13.05041981,80.2061615,45214920406,49929,352152
352153,6,3,13.05041981,80.2061615,45214920406,49929,352153
352154,6,3,13.05041981,80.2061615,45214920406,49929,352154
352155,6,3,13.05041981,80.2061615,45214920406,49929,352155
352156,6,3,13.05041981,80.2061615,45214920406,49929,352156
352157,6,3,13.05041981,80.2061615,45214920406,49929,352157
352158,6,3,13.05041981,80.2061615,45214920406,49929,352158
353832,6,3,13.05037975,80.20606995,45214920406,50159,353832
353903,6,3,13.05039024,80.20606232,45214920406,50169,353903
353979,6,3,13.05039024,80.20606232,45214920406,50179,353979
354056,6,3,13.05039024,80.20606232,45214920406,50189,354056
354127,6,3,13.05039024,80.20606232,45214920406,50199,354127
354167,6,3,13.05039024,80.20606232,45214920406,50205,354167
354169,6,3,13.05039024,80.20606232,45214920406,50205,354169
354176,6,3,13.05039024,80.20606232,45214920406,50205,354176
354177,6,3,13.05039024,80.20606232,45214920406,50205,354177
354178,6,3,13.05039024,80.20606232,45214920406,50205,354178
354179,6,3,13.05039024,80.20606232,45214920406,50205,354179
354180,6,3,13.05039024,80.20606232,45214920406,50205,354180
354181,6,3,13.05039024,80.20606232,45214920406,50205,354181
